host;ip;port;lastseen;delay;cid;country_code;country_name;city;checks_up;checks_down;anon;http;ssl;socks4;socks5
77.79.253.231;77.79.253.231;80;64;3360;3094802;PL;Poland;Krakow;202;457;2;1;0;0;0
120.132.52.242;120.132.52.242;8888;73;3020;1816670;CN;China;Beijing;267;10;4;1;0;0;0
180.150.191.243;180.150.191.243;8888;76;1020;1816670;CN;China;Beijing;557;10;4;1;0;0;0
106.75.140.148;106.75.140.148;8888;76;2140;1796231;CN;China;;634;6;4;1;0;0;0
106.75.140.205;106.75.140.205;8888;76;1100;1796231;CN;China;;259;7;4;1;0;0;0
120.132.52.91;120.132.52.91;8888;77;900;1816670;CN;China;Beijing;300;3;4;1;0;0;0
180.150.191.219;180.150.191.219;8888;77;900;1816670;CN;China;Beijing;310;12;4;1;0;0;0
120.132.53.31;120.132.53.31;8888;77;1700;1816670;CN;China;Beijing;239;5;4;1;0;0;0
120.132.53.18;120.132.53.18;8888;77;1940;1816670;CN;China;Beijing;200;11;4;1;0;0;0
120.132.52.234;120.132.52.234;8888;77;1100;1816670;CN;China;Beijing;374;6;4;1;0;0;0
120.132.52.102;120.132.52.102;8888;77;920;1816670;CN;China;Beijing;255;8;4;1;0;0;0
106.75.135.253;106.75.135.253;8888;77;1140;1796231;CN;China;;361;3;4;1;0;0;0
152.231.27.54;152.231.27.54;999;80;3640;3686110;CO;Colombia;;100;165;1;1;0;0;0
177.86.158.102;177.86.158.102;38500;83;3600;3451190;BR;Brazil;"""Rio de Janeiro""";95;163;4;1;0;0;0
200.89.174.105;200.89.174.105;8080;84;5100;3435910;AR;Argentina;"""Buenos Aires""";167;23;3;1;0;0;0
182.253.121.14;182.253.121.14;8080;84;2840;1650357;ID;Indonesia;Bandung;33;38;1;1;0;0;0
92.247.179.194;92.247.179.194;4145;87;3360;727011;BG;Bulgaria;Sofia;337;291;4;0;0;1;0
62.122.201.241;62.122.201.241;46176;87;2720;707471;UA;Ukraine;Ivano-Frankivsk;1080;929;4;1;0;0;0
218.75.102.198;218.75.102.198;8000;87;1400;1784764;CN;China;;87;93;4;1;0;0;0
120.132.52.130;120.132.52.130;8888;88;5100;1816670;CN;China;Beijing;256;9;4;1;0;0;0
120.132.53.35;120.132.53.35;8888;88;3320;1816670;CN;China;Beijing;385;8;4;1;0;0;0
106.75.140.169;106.75.140.169;8888;88;1060;1796231;CN;China;;353;5;4;1;0;0;0
41.218.224.30;41.218.224.30;8080;88;2180;2300660;GH;Ghana;;39;62;1;1;0;0;0
36.90.23.120;36.90.23.120;3128;88;3820;1214520;ID;Indonesia;Medan;33;12;1;1;0;0;0
120.132.52.246;120.132.52.246;8888;89;960;1816670;CN;China;Beijing;600;6;4;1;0;0;0
120.132.52.113;120.132.52.113;8888;89;1660;1816670;CN;China;Beijing;380;5;4;1;0;0;0
